timestamp,event_type,trial_id,cue_class,predicted_class,accuracy,error_type,confidence,reaction_time,coins_collected,artifact_flag,details
0.0013495003804564476,session_start,,,,,,,,,,"difficulty=easy, trials=5, mi_mode=False"
0.0014566252939403057,trial_start,1,,,,,,,,,difficulty=easy
0.0015100832097232342,practice_trial,1,,,,,,,,,trial=1
0.0016824579797685146,coin_spawned,1,,,,,,,0,,"coin_lane=-1, agent_pos=0"
0.35494804196059704,cue_left,1,left,,,,,,0,,agent_pos=0
2.144247167278081,feedback_correct,1,,left,True,,,1789,0,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=LEFT"
2.962687000166625,coin_collected,1,,,,,,,1,,"coin_lane=-1, agent_pos=-1"
3.455694875214249,coin_spawned,1,,,,,,,1,,"coin_lane=0, agent_pos=-1"
3.8123375424183905,cue_right,1,right,,,,,,1,,agent_pos=-1
5.330805000383407,feedback_correct,1,,right,True,,,1518,1,,"intended=MOVE_RIGHT, executed=MOVE_RIGHT, movement_required=RIGHT"
6.197889625094831,coin_collected,1,,,,,,,2,,"coin_lane=0, agent_pos=0"
6.690282083116472,coin_spawned,1,,,,,,,2,,"coin_lane=1, agent_pos=0"
7.047260750085115,cue_right,1,right,,,,,,2,,agent_pos=0
