timestamp,event_type,trial_id,cue_class,predicted_class,accuracy,error_type,confidence,reaction_time,coins_collected,artifact_flag,details
0.0003571668639779091,session_start,,,,,,,,,,"difficulty=easy, trials=5, mi_mode=False"
0.0004387497901916504,trial_start,1,,,,,,,,,difficulty=easy
0.00048120878636837006,practice_trial,1,,,,,,,,,trial=1
0.0011768750846385956,coin_spawned,1,,,,,,,0,,"coin_lane=-1, agent_pos=0"
0.3499382920563221,cue_left,1,left,,,,,,0,,agent_pos=0
4.164362874813378,feedback_correct,1,,left,True,,,3814,0,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=LEFT"
4.542250333819538,coin_collected,1,,,,,,,1,,"coin_lane=-1, agent_pos=-1"
5.023780709132552,coin_spawned,1,,,,,,,1,,"coin_lane=0, agent_pos=-1"
5.375262834131718,cue_right,1,right,,,,,,1,,agent_pos=-1
10.177116499748081,feedback_correct,1,,left,False,secondary,,4801,1,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=RIGHT"
11.683903249911964,coin_missed,1,,,,,,,1,,"coin_lane=0, agent_pos=-2"
12.66641016677022,coin_spawned,1,,,,,,,1,,"coin_lane=-3, agent_pos=-2"
13.015772624872625,cue_left,1,left,,,,,,1,,agent_pos=-2
16.17724229209125,feedback_correct,1,,left,True,,,3161,1,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=LEFT"
16.69029216701165,coin_collected,1,,,,,,,2,,"coin_lane=-3, agent_pos=-3"
17.174533249810338,coin_spawned,1,,,,,,,2,,"coin_lane=-2, agent_pos=-3"
17.523383624851704,cue_right,1,right,,,,,,2,,agent_pos=-3
22.193986041937023,feedback_correct,1,,left,False,secondary,,4670,2,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=RIGHT"
23.74621858401224,coin_missed,1,,,,,,,2,,"coin_lane=-2, agent_pos=-4"
24.73441837495193,coin_spawned,1,,,,,,,2,,"coin_lane=-3, agent_pos=-4"
25.087590124923736,cue_right,1,right,,,,,,2,,agent_pos=-4
28.21663562487811,feedback_correct,1,,left,False,secondary,,3129,2,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=RIGHT"
30.08395554171875,coin_missed,1,,,,,,,2,,"coin_lane=-3, agent_pos=-5"
31.067415958736092,coin_spawned,1,,,,,,,2,,"coin_lane=-4, agent_pos=-5"
31.41868383390829,cue_right,1,right,,,,,,2,,agent_pos=-5
36.242055541835725,feedback_correct,1,,left,False,secondary,,4823,2,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=RIGHT"
37.76570162503049,coin_missed,1,,,,,,,2,,"coin_lane=-4, agent_pos=-6"
38.757607999723405,coin_spawned,1,,,,,,,2,,"coin_lane=-7, agent_pos=-6"
39.10634124977514,cue_left,1,left,,,,,,2,,agent_pos=-6
42.26692916685715,feedback_correct,1,,left,True,,,3160,2,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=LEFT"
42.78574904194102,coin_collected,1,,,,,,,3,,"coin_lane=-7, agent_pos=-7"
42.789725749753416,trial_end,1,,,,,,,3,,
45.30914895888418,trial_start,2,,,,,,,,,difficulty=easy
45.30953258369118,practice_trial,2,,,,,,,,,trial=2
45.3100122497417,coin_spawned,2,,,,,,,0,,"coin_lane=1, agent_pos=0"
45.65971933398396,cue_right,2,right,,,,,,0,,agent_pos=0
50.291299750097096,feedback_correct,2,,left,False,secondary,,4631,0,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=RIGHT"
51.854307000059634,coin_missed,2,,,,,,,0,,"coin_lane=1, agent_pos=-1"
52.837550333701074,coin_spawned,2,,,,,,,0,,"coin_lane=-2, agent_pos=-1"
53.18819604208693,cue_left,2,left,,,,,,0,,agent_pos=-1
56.29590183403343,feedback_correct,2,,left,True,,,3107,0,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=LEFT"
56.83145466679707,coin_collected,2,,,,,,,1,,"coin_lane=-2, agent_pos=-2"
57.30631749983877,coin_spawned,2,,,,,,,1,,"coin_lane=-1, agent_pos=-2"
57.6550996247679,cue_right,2,right,,,,,,1,,agent_pos=-2
62.30849770875648,feedback_correct,2,,left,False,secondary,,4653,1,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=RIGHT"
63.85877399984747,coin_missed,2,,,,,,,1,,"coin_lane=-1, agent_pos=-3"
64.83446375001222,coin_spawned,2,,,,,,,1,,"coin_lane=-4, agent_pos=-3"
65.18336120899767,cue_left,2,left,,,,,,1,,agent_pos=-3
68.3310588337481,feedback_correct,2,,left,True,,,3147,1,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=LEFT"
68.84970391681418,coin_collected,2,,,,,,,2,,"coin_lane=-4, agent_pos=-4"
69.32842691708356,coin_spawned,2,,,,,,,2,,"coin_lane=-3, agent_pos=-4"
69.68136312486604,cue_right,2,right,,,,,,2,,agent_pos=-4
74.33649291703478,feedback_correct,2,,left,False,secondary,,4655,2,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=RIGHT"
75.87284129206091,coin_missed,2,,,,,,,2,,"coin_lane=-3, agent_pos=-5"
76.86941316677257,coin_spawned,2,,,,,,,2,,"coin_lane=-4, agent_pos=-5"
77.22312824986875,cue_right,2,right,,,,,,2,,agent_pos=-5
80.36289454204962,feedback_correct,2,,left,False,secondary,,3139,2,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=RIGHT"
82.21484899986535,coin_missed,2,,,,,,,2,,"coin_lane=-4, agent_pos=-6"
83.19219233375043,coin_spawned,2,,,,,,,2,,"coin_lane=-5, agent_pos=-6"
83.54341225000098,cue_right,2,right,,,,,,2,,agent_pos=-6
88.38569450005889,feedback_correct,2,,left,False,secondary,,4842,2,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=RIGHT"
89.90223716711625,coin_missed,2,,,,,,,2,,"coin_lane=-5, agent_pos=-7"
90.87607762496918,coin_spawned,2,,,,,,,2,,"coin_lane=-8, agent_pos=-7"
91.2248379169032,cue_left,2,left,,,,,,2,,agent_pos=-7
94.40623924974352,feedback_correct,2,,left,True,,,3181,2,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=LEFT"
94.92090854188427,coin_collected,2,,,,,,,3,,"coin_lane=-8, agent_pos=-8"
94.92521708412096,trial_end,2,,,,,,,3,,
97.43861662503332,trial_start,3,,,,,,,,,difficulty=easy
97.43894558399916,practice_trial,3,,,,,,,,,trial=3
97.43947454169393,coin_spawned,3,,,,,,,0,,"coin_lane=-1, agent_pos=0"
97.7864472088404,cue_left,3,left,,,,,,0,,agent_pos=0
102.42937012482435,feedback_correct,3,,left,True,,,4642,0,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=LEFT"
102.64711770880967,coin_collected,3,,,,,,,1,,"coin_lane=-1, agent_pos=-1"
103.12974358396605,coin_spawned,3,,,,,,,1,,"coin_lane=-2, agent_pos=-1"
103.47809633379802,cue_left,3,left,,,,,,1,,agent_pos=-1
108.44303879188374,feedback_correct,3,,left,True,,,4964,1,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=LEFT"
108.6444115000777,coin_collected,3,,,,,,,2,,"coin_lane=-2, agent_pos=-2"
109.12720183376223,coin_spawned,3,,,,,,,2,,"coin_lane=-1, agent_pos=-2"
109.47697895905003,cue_right,3,right,,,,,,2,,agent_pos=-2
114.4716076250188,feedback_correct,3,,left,False,secondary,,4994,2,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=RIGHT"
115.96123133366928,coin_missed,3,,,,,,,2,,"coin_lane=-1, agent_pos=-3"
116.9468586249277,coin_spawned,3,,,,,,,2,,"coin_lane=-4, agent_pos=-3"
117.2993420837447,cue_left,3,left,,,,,,2,,agent_pos=-3
120.4808448748663,feedback_correct,3,,left,True,,,3181,2,,"intended=MOVE_LEFT, executed=MOVE_LEFT, movement_required=LEFT"
120.99828216712922,coin_collected,3,,,,,,,3,,"coin_lane=-4, agent_pos=-4"
121.00212087482214,trial_end,3,,,,,,,3,,
